,pairAddress,token0,token1,dailyVolumeUSD,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},28233656.1728794453058187870941424,28,774312422.8317167,27654015.10113274
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},22753084.88297850228061456245212444,28,643060088.213201,22966431.72190004
2,0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7,{'symbol': 'WETH'},{'symbol': 'LOOKS'},524279.2082557107272207393169239265,28,508652449.7341875,18166158.919078123
3,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},5099780.964157573322439854943695323,28,198593120.33404496,7092611.440501606
4,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,{'symbol': 'SAND'},{'symbol': 'WETH'},1960605.605196976390550578644668659,28,141788169.34278294,5063863.190813676
5,0xc0bf97bffa94a50502265c579a3b7086d081664b,{'symbol': 'STRONG'},{'symbol': 'WETH'},5577468.2810938630970215787026742,28,138189126.58254424,4935325.94937658
6,0x32a505bf9db617d23bf3ebaac9aef80cb24a828c,{'symbol': 'CHEDDA'},{'symbol': 'WETH'},396012.6582317956312067816640189968,28,116560521.35567969,4162875.762702846
7,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},3331317.553293576114822545348129717,28,98598326.99208194,3521368.8211457836
8,0x25647e01bd0967c1b9599fa3521939871d1d0888,{'symbol': 'WETH'},{'symbol': 'SUPER'},1107003.801881625244384461761311955,28,78438894.38582876,2801389.08520817
9,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,{'symbol': 'TOKE'},{'symbol': 'WETH'},455782.5147822341291461185428589766,28,69379207.37638043,2477828.8348707296
10,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},1937028.475853285217980236066622252,28,69314209.32852809,2475507.4760188605
11,0x452c60e1e3ae0965cd27db1c7b3a525d197ca0aa,{'symbol': 'VADER'},{'symbol': 'WETH'},304798.1256051783843985043039498237,28,69110234.21514274,2468222.6505408124
12,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,{'symbol': 'HEX'},{'symbol': 'USDC'},3376531.576901278783531515473127124,28,65637062.29074981,2344180.7960982076
13,0x63b61e73d3fa1fb96d51ce457cabe89fffa7a1f1,{'symbol': 'SHINJA'},{'symbol': 'WETH'},591483.8502532358063373031167590163,28,60411312.23888251,2157546.8656743756
14,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,{'symbol': 'PAXG'},{'symbol': 'WETH'},3307118.260343045241425773446617788,28,54757259.77055253,1955616.4203768761
15,0x75f89ffbe5c25161cbc7e97c988c9f391eaefaf9,{'symbol': 'WETH'},{'symbol': 'wPE'},597659.4557685769795752662708216326,28,53421450.468980715,1907908.9453207399
16,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,{'symbol': 'MC'},{'symbol': 'WETH'},1519722.345733367945860903937376211,28,50923900.890023686,1818710.7460722744
17,0xae8b9d75a75a8b7c5cc5deb51fa916ac49147dad,{'symbol': 'DEPO'},{'symbol': 'WETH'},431092.663973471423901343438267491,28,50861484.92631021,1816481.604511079
18,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},1897619.270768162218872538570111641,28,49958525.29035079,1784233.0460839567
19,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},938943.2577572711685753114482320441,28,46416918.89369932,1657747.1033464042
20,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},1323800.031217309174311433086825502,28,45484708.060354024,1624453.859298358
21,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,{'symbol': 'UFO'},{'symbol': 'WETH'},1537005.179666617011178640317690081,28,44006787.19989595,1571670.9714248553
22,0x3016a43b482d0480460f6625115bd372fe90c6bf,{'symbol': 'ShibDoge'},{'symbol': 'WETH'},646667.7693092491967286241869566803,28,43247506.69675342,1544553.8105983364
23,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},1066464.948217658915792603945667082,28,41060101.74566667,1466432.205202381
24,0xe6f19dab7d43317344282f803f8e8d240708174a,{'symbol': 'KEEP'},{'symbol': 'WETH'},960799.2951966132700494362507946418,28,36344580.53843971,1298020.733515704
25,0xdb44a4a457c87225b5ba45f27b7828a4cc03c112,{'symbol': 'RBN'},{'symbol': 'WETH'},1280790.478156457978701785506297455,28,35265092.49731038,1259467.5891896563
26,0x94b0a3d511b6ecdb17ebf877278ab030acb0a878,{'symbol': 'FEI'},{'symbol': 'WETH'},291911.5272551391502881214947438814,28,34415853.96171116,1229137.6414896843
27,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9,{'symbol': 'XMON'},{'symbol': 'WETH'},416005.1593690167865807090807952435,28,32684334.27941352,1167297.6528361973
28,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},1153560.218228499050502960115926171,28,32518199.7318462,1161364.2761373643
29,0xdf60e6416fcf8c955fddf01148753a911f7a5905,{'symbol': 'KUMA'},{'symbol': 'WETH'},422655.6442011995186361032668254194,28,31532843.74001664,1126172.99071488
30,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,{'symbol': 'BOND'},{'symbol': 'USDC'},597857.1696251485451134565793434565,28,29547044.712407205,1055251.596871686
31,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,{'symbol': 'WOO'},{'symbol': 'WETH'},664850.6034258826523563906887815451,28,29427223.510801844,1050972.268242923
32,0x9c2b19dbdfad3f283c0b96c5546d91a275778d91,{'symbol': 'WETH'},{'symbol': 'MCC'},855974.5511423145255059608720592149,28,28188106.13340394,1006718.0761929977
33,0xffe8df2f623bfd954d785809185beb291330c70d,{'symbol': 'UPI'},{'symbol': 'WETH'},75589.43011203464819511217173155249,28,27840345.08103095,994298.0386082482
34,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,{'symbol': 'LINK'},{'symbol': 'WETH'},703326.0609122292148027182943778643,28,27119718.550382406,968561.3767993717
35,0x27fd0857f0ef224097001e87e61026e39e1b04d1,{'symbol': 'WETH'},{'symbol': 'RLY'},351147.8531051214445010654705091387,28,26808882.545044307,957460.0908944395
36,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,{'symbol': 'WETH'},{'symbol': 'FLOKI'},908259.2968482711543427447549439499,28,25087715.266524088,895989.8309472889
37,0x3df70e5b6edead5277590d3de5731d17f46e043b,{'symbol': 'DG'},{'symbol': 'WETH'},410098.299710205921792886486711857,28,23604160.739974692,843005.7407133819
38,0xe9766b5f6de2ee9034c277b9c0dd2618e2ce356b,{'symbol': 'SHINTAMA'},{'symbol': 'WETH'},45450.9270404530518808070457970908,28,22613089.17935819,807610.3278342212
39,0xa932dab125bcf1f5e2536e106409ea79847bb72a,{'symbol': 'POCHI'},{'symbol': 'WETH'},21233.84607449434372464358235151333,28,22599463.2656376,807123.6880584856
40,0x854373387e41371ac6e307a1f29603c6fa10d872,{'symbol': 'FEG'},{'symbol': 'WETH'},271484.167119979638657879486753142,28,22183741.05766745,792276.4663452661
41,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,{'symbol': 'WBTC'},{'symbol': 'WETH'},1189677.072689799223906893185122475,28,20727818.693056874,740279.2390377455
42,0xcaa004418eb42cdf00cb057b7c9e28f0ffd840a5,{'symbol': 'WILD'},{'symbol': 'WETH'},589946.7775159671816878608663531952,28,20207611.04336956,721700.3944060558
43,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,{'symbol': 'WETH'},{'symbol': 'CRV'},67969.08723574189038277922502667742,28,19818040.20190277,707787.1500679561
44,0x874376be8231dad99aabf9ef0767b3cc054c60ee,{'symbol': 'LEASH'},{'symbol': 'WETH'},211454.991171780177714392380140698,28,18698487.333405115,667803.1190501826
45,0xfe796ba940256e65048d1e6b52ec8755067c7145,{'symbol': 'VOLT'},{'symbol': 'WETH'},913397.7582545865421244389706519584,28,17677399.24973674,631335.687490598
46,0xd03dffd02db4b076e3eed9272a6a243a23de16e3,{'symbol': 'Metis'},{'symbol': 'WETH'},714600.3538218354212356631560997283,28,17578260.026495527,627795.0009462688
47,0x9c4cc862f51b1ba90485de3502aa058ca4331f32,{'symbol': 'CELL'},{'symbol': 'WETH'},501598.4536378776572936073419665441,28,17149168.716977306,612470.311320618
48,0xee5647e90cc76bb966d2babb483995f3efd95c39,{'symbol': 'PDT'},{'symbol': 'WETH'},174363.2848168978533114347842633446,28,16814617.171277326,600522.0418313331
49,0x570febdf89c07f256c75686caca215289bb11cfc,{'symbol': 'ERN'},{'symbol': 'WETH'},178694.8705953403834323373996856016,28,16393006.047497239,585464.5016963299
