,pairAddress,token0,token1,dailyVolumeUSD,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},23928548.96165653654281454636758391,31,1382923434.070796,44610433.35712245
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},17826115.88153176084805331073941184,31,975601607.672281,31471019.602331646
2,0x94b0a3d511b6ecdb17ebf877278ab030acb0a878,{'symbol': 'FEI'},{'symbol': 'WETH'},3071684.770643051169607682783125267,31,451783590.5905665,14573664.21259892
3,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},7593332.569427615880584393912078055,31,395110227.04794466,12745491.19509499
4,0x452c60e1e3ae0965cd27db1c7b3a525d197ca0aa,{'symbol': 'VADER'},{'symbol': 'WETH'},8697045.704205725147345390714735498,31,330151348.0960559,10650043.486969545
5,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},2954152.170449936896460413198376342,31,255721142.58718875,8249069.115715766
6,0xc0bf97bffa94a50502265c579a3b7086d081664b,{'symbol': 'STRONG'},{'symbol': 'WETH'},4084824.761077294937384788372059123,31,201150797.85417002,6488735.414650646
7,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,{'symbol': 'SAND'},{'symbol': 'WETH'},8269423.072828005041846570054093284,31,178096703.8914507,5745054.964240345
8,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,{'symbol': 'TOKE'},{'symbol': 'WETH'},1610274.631545700440693330907518644,31,166519908.5246987,5371609.952409635
9,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,{'symbol': 'HEX'},{'symbol': 'USDC'},2432265.130411881771601165564984567,31,155271177.72985896,5008747.668705128
10,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},2146390.48252240450552167967012777,31,150594693.82417035,4857893.349166785
11,0x4ce3687fed17e19324f23e305593ab13bbd55c4d,{'symbol': 'FUSE'},{'symbol': 'WETH'},636479.1242894587452766980674047258,31,138902049.80337662,4480711.283979891
12,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,{'symbol': 'LINK'},{'symbol': 'WETH'},2245777.047228073052543913594734469,31,110524386.31123964,3565302.784233537
13,0x8672aa02f8a5b6eb6bb0915ce6c65f771d705127,{'symbol': 'USDC'},{'symbol': 'OCT'},574802.7819930503881274002649473633,31,102084760.86217321,3293056.8020055876
14,0xdb44a4a457c87225b5ba45f27b7828a4cc03c112,{'symbol': 'RBN'},{'symbol': 'WETH'},773764.3792014827356881248909972826,31,101596796.08436841,3277316.0027215616
15,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},2467123.843964689148501190449379215,31,96700046.45304574,3119356.337195024
16,0x63b61e73d3fa1fb96d51ce457cabe89fffa7a1f1,{'symbol': 'SHINJA'},{'symbol': 'WETH'},2598117.942668501588332411468137894,31,86734840.65505409,2797898.0856469064
17,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,{'symbol': 'UFO'},{'symbol': 'WETH'},840590.8464927358534776094069708487,31,83020723.10136011,2678087.8419793583
18,0xfa5562729fdc3ed3a52c3aab2e12bd504fd24991,{'symbol': 'AVG'},{'symbol': 'WETH'},358885.736953001914203321026963255,31,77620721.19925927,2503894.2322341697
19,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9,{'symbol': 'XMON'},{'symbol': 'WETH'},588300.9872878065059978448587401086,31,77391800.31004348,2496509.6874207575
20,0xd03dffd02db4b076e3eed9272a6a243a23de16e3,{'symbol': 'Metis'},{'symbol': 'WETH'},721364.8692032199099812360889572991,31,76271048.11550109,2460356.390822616
21,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,{'symbol': 'MC'},{'symbol': 'WETH'},1486351.603911398643145485318668325,31,75773948.47922942,2444320.91868482
22,0xae8b9d75a75a8b7c5cc5deb51fa916ac49147dad,{'symbol': 'DEPO'},{'symbol': 'WETH'},2482820.44468199783110867731632274,31,75748766.88115908,2443508.6090696477
23,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},1700067.303606258810765995654752509,31,74305844.59204352,2396962.728775597
24,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},3698923.016862214521892410790792331,31,71833521.24415977,2317210.3627148313
25,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,{'symbol': 'WBTC'},{'symbol': 'WETH'},1165495.968080378731287483739266706,31,70740875.23596388,2281963.7172891577
26,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,{'symbol': 'WOO'},{'symbol': 'WETH'},797326.5769857389135092847087917837,31,66842926.27797097,2156223.428321644
27,0x60148519ad90ca9bb11a126f466fbfb73d895ce6,{'symbol': 'REFI'},{'symbol': 'WETH'},401029.6332265617728023799084877866,31,64936155.36660839,2094714.689245432
28,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},553339.163891516424280460975258319,31,61159024.65337859,1972871.7630122127
29,0x25647e01bd0967c1b9599fa3521939871d1d0888,{'symbol': 'WETH'},{'symbol': 'SUPER'},866034.832295281765837219535530428,31,58214516.32502869,1877887.6233880222
30,0x9c2b19dbdfad3f283c0b96c5546d91a275778d91,{'symbol': 'WETH'},{'symbol': 'MCC'},1473616.149791863503131927238577984,31,58118935.1298265,1874804.3590266614
31,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,{'symbol': 'WETH'},{'symbol': 'LUNA'},1392391.00321634497401414704566677,31,57487439.08147751,1854433.5187573389
32,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},637141.9074159242130647713491286289,31,55722726.34072362,1797507.3013136652
33,0xd6f3768e62ef92a9798e5a8cedd2b78907cecef9,{'symbol': 'FLX'},{'symbol': 'WETH'},418110.5820223569799207823926215525,31,55262831.60450421,1782671.9872420714
34,0xf64af01a14c31164ff7381cf966df6f2b4cb349f,{'symbol': 'WETH'},{'symbol': 'DPX'},153385.7468367921483842961055450697,31,45256782.284200564,1459896.2027161473
35,0x1ffc57cada109985ad896a69fbcebd565db4290e,{'symbol': 'FTM'},{'symbol': 'WETH'},262370.6916386604217568147179570486,31,42299061.95971752,1364485.869668307
36,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,{'symbol': 'WETH'},{'symbol': 'CRV'},223646.4107292598696471440865777945,31,36814081.531245,1187551.0171369356
37,0x3df70e5b6edead5277590d3de5731d17f46e043b,{'symbol': 'DG'},{'symbol': 'WETH'},144351.5222511567656771557495847731,31,36414319.75489632,1174655.4759643974
38,0x8c07e1dfede38b1908698988b4202a87e0d7a0f7,{'symbol': 'SIDUS'},{'symbol': 'WETH'},63050.21489781481081620325843261456,31,34565067.13094061,1115002.1655142133
39,0xcaa004418eb42cdf00cb057b7c9e28f0ffd840a5,{'symbol': 'WILD'},{'symbol': 'WETH'},240684.7867446441783604568037306568,31,34402807.57021892,1109767.9861360942
40,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,{'symbol': 'BOND'},{'symbol': 'USDC'},1188229.244506672727825932103236212,31,33089064.151253942,1067389.166169482
41,0x65224ed2dce0cfc960ffa39ae307b9eddeb256cc,{'symbol': 'IMPACTXP'},{'symbol': 'WETH'},262298.5024567871472009134520593068,31,31908311.851340856,1029300.382301318
42,0x0efb424c465dbd0a626359d63412838f727f2c25,{'symbol': 'MUTE'},{'symbol': 'WETH'},446504.4255785709305920089063218264,31,31551674.703085627,1017795.9581640525
43,0xc5be99a02c6857f9eac67bbce58df5572498f40c,{'symbol': 'WETH'},{'symbol': 'AMPL'},131607.7517739630724851978234874671,31,30849218.03695351,995136.0657081777
