,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,4518,780890068.518087,277035.746813634598486243,310192220.9694027657160490847154451,56.0,43.0,4417.0,2423.0,375653142.8619247,1994.0,405563866.66677,781217009.5286946
1,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,385,2723.9097394,37034.694919316732053247,106040511.7651665922681830492383194,10.0,12.0,363.0,221.0,50859777.06387534,142.0,53638779.645445876,104498556.70932122
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,306,28140164.628607,9990.702402041983109268,392868918.1605637616033088038759393,25.0,33.0,248.0,111.0,9610540.750621973,137.0,18546928.236739937,28157468.987361908
3,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,448,59260971.049335,59269642.421682,217935006.878498,1.0,6.0,441.0,203.0,23520901.37262176,238.0,35744400.70564268,59265302.07826444
4,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,1592,16834.79424245517378495,47051475.74323,49721504.55053304738945425515064567,2.0,3.0,1587.0,748.0,24227753.477416378,839.0,23049962.469479963,47277715.946896344
5,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,181,5577.422283069728611328,15699170.803278,189804866.5214498736019705053164175,8.0,11.0,162.0,95.0,9421666.354390047,67.0,6247896.174819553,15669562.5292096
6,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,181,34707256.497860531418090295,34705122.219815,321938391.342623676156393754,3.0,1.0,177.0,90.0,23112570.081900395,87.0,11593483.088677814,34706053.17057821
7,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE,WETH,1581,3335175.586080005320428365,17612.189374088102580651,41118158.52410213974454801262157553,62.0,48.0,1471.0,927.0,25659952.639739204,544.0,23988625.460361704,49648578.100100905
8,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,66,260.71135963,3539.524881915152625366,344557422.1190230295697984027842652,14.0,17.0,35.0,14.0,2674259.7362458343,21.0,7295716.463465453,9969976.199711287
9,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,119,308.50656916,11764419.039784,126646203.2475054664156112334577981,4.0,9.0,106.0,69.0,8037036.345310817,37.0,3731173.0924303383,11768209.437741155
