,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,6504,587800084.076666,298754.303825701504718729,282956184.4304967941482065929124886,116.0,106.0,6277.0,2918.0,287046059.86965877,3359.0,300406593.6352482,587452653.5049069
1,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,1014,6354.05172506,102159.182754740101057657,123055933.161380393785009621125122,17.0,24.0,973.0,382.0,88089612.99099535,591.0,113120627.71049993,201210240.7014953
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,573,62659285.385316,31865.735926277437983198,327515206.0757365641191837106634326,65.0,66.0,442.0,169.0,27625485.200756513,273.0,35045565.74590491,62671050.94666142
3,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,631,64575891.902961,64631874.547559,127915229.967648,2.0,7.0,622.0,332.0,29930727.691000395,290.0,34673589.97283699,64604317.66383739
4,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,1554,15832.194482297486427508,31316665.578859,25823086.38504161718573583245487646,4.0,6.0,1544.0,733.0,15850001.91791234,811.0,15429898.886150466,31279900.804062806
5,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,315,8137.903940500785859358,16006849.148664,124233082.8007848785848550024619577,4.0,14.0,297.0,148.0,8873418.213376235,149.0,7129577.257798574,16002995.47117481
6,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,292,35307614.323797970876686968,35306282.450945,646580414.271931486979598479,4.0,2.0,286.0,151.0,27706424.829188634,135.0,7598898.124086736,35305322.95327537
7,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE,WETH,474,1398831.977362332696569786,4931.466405715706770632,25218985.41961709058068820012070952,9.0,14.0,451.0,257.0,5427779.50916561,194.0,4293235.477879788,9721014.987045398
8,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,147,572.77744637,9252.270734843088145143,221532962.2003939199363987153227076,19.0,30.0,98.0,23.0,4887129.6904232,75.0,13289195.50222462,18176325.192647822
9,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,246,644.50762621,20450038.765856,131647051.7400680272283353034904058,6.0,21.0,219.0,130.0,10255603.705499206,89.0,10180576.429012438,20436180.134511642
10,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,WETH,LOOKS,631,3832.633129982132554545,13936971.193893012927964193,15103013.02686564230022596365674436,5.0,7.0,619.0,283.0,3393226.6878447756,336.0,4176010.678752315,7569237.366597091
11,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,131,2291081.841707475967981661,1165.966604645691035234,43294839.70762279319549153725521474,4.0,4.0,123.0,57.0,984222.5753112416,66.0,1307192.9832988083,2291415.55861005
12,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,593,3913356.190407034388647617,2022.801653499543093589,11352069.80985614363130770853538412,0.0,1.0,592.0,236.0,1917023.5889887025,356.0,2025734.2991300188,3942757.8881187215
13,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,70,1992115.837308,1993988.865916,13750809.970315,0.0,2.0,68.0,42.0,862284.347574804,26.0,1130763.757895464,1993048.105470268
14,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,30,1138933.240383466266093014,1138672.682079,185384525.0884532872891202370928199,0.0,14.0,16.0,4.0,243944.558452,12.0,894728.1236270001,1138672.6820790002
15,0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f,WBTC,renBTC,3,3.10124625,3.10347071,14705620.89962743347226614466527976,1.0,0.0,2.0,0.0,0.0,2.0,97098.04226846191,97098.04226846191
16,0x9a834b70c07c81a9fcd6f22e842bf002fbffbe4d,FRAX,USDC,114,3980377.239200284542402333,3978070.195454,1190407.384658494354203944465656694,1.0,0.0,113.0,73.0,2096719.2799380005,40.0,1881350.9155159998,3978070.1954540005
17,0xdf50fbde8180c8785842c8e316ebe06f542d3443,FEI,USDC,70,4074543.668257588395011441,4074728.935743,16319741.474975980318478312,0.0,0.0,70.0,43.0,2686782.6720891483,27.0,1386989.2448956291,4073771.9169847774
18,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,538,80555823.28919218,6505941.020678,12634695.67439423033653835341303034,8.0,5.0,525.0,281.0,3309773.688164001,244.0,3196167.3325139997,6505941.0206780005
19,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,290,834543.134655214421064324,3164.400450078730130259,13908963.56912582458272364525357753,14.0,7.0,269.0,111.0,2872490.092940694,158.0,3343619.370395441,6216109.463336135
20,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,351,8354819.66236148,342.314875409775656458,2299550.881077356683915735759059729,4.0,1.0,346.0,113.0,335329.02771283383,233.0,335982.65558054496,671311.6832933788
21,0xe05e653453f733786f2dabae0ffa1e96cfcc4b25,HEX,USDC,63,4560521.96497228,367269.023906,4896296.887519078912389826920040411,2.0,3.0,58.0,32.0,223048.49863699998,26.0,144220.525269,367269.02390599996
22,0x735a26a57a0a0069dfabd41595a970faf5e1ee8b,agEUR,USDC,70,2349925.803162919237360774,2521063.776795,18888660.50379628156543100702486227,1.0,0.0,69.0,36.0,1306402.6097890004,33.0,1214661.1670060002,2521063.776795001
23,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,WETH,155,1441.933389321367329311,974.79524146287968297,14123912.88202341930001475665102219,1.0,1.0,153.0,78.0,1053377.0018140227,75.0,869652.469114123,1923029.4709281456
