,id,token0,token1,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,31,26673145147.344852,860424037.0111243
1,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,31,5933038674.962141,191388344.35361746
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,31,4472626785.710703,144278283.41002268
3,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,31,4155622279.093853,134052331.58367267
4,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,31,2824999532.8020935,91129017.1871643
5,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,31,2392119750.3228474,77165153.23622088
6,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,31,2164754304.289436,69830784.00933664
7,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI,USDC,31,1750727411.644414,56475077.79498109
8,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,31,1496735866.7758026,48281802.15405815
9,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,31,1334051214.5267658,43033910.146024704
10,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,31,1082508186.7538602,34919618.92754388
11,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC,WETH,31,922504986.3320177,29758225.365548957
12,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,31,793698891.904176,25603190.061425034
13,0x92995d179a5528334356cb4dc5c6cbb1c068696c,USDC,UST,31,611418643.1401569,19723182.036779255
14,0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8,DAI,FEI,31,470150941.4600388,15166159.401936734
15,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,31,340177513.644019,10973468.18206513
16,0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,ETH2x-FLI,WETH,31,338638077.6771071,10923808.957326036
17,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,31,336829649.52682406,10865472.56538142
18,0x92560c178ce069cc014138ed3c2f5221ba71f58a,WETH,ENS,31,312920086.84951156,10094196.349984244
19,0xf8a95b2409c27678a6d18d950c5d913d5c38ab03,GALA,WETH,31,292281183.8440149,9428425.285290802
20,0xfebf38b1d34818d4827034f97b7d6d77c79d4997,SPELL,WETH,31,280244216.61980677,9040136.019993767
