,id,token0,token1,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,30,13640786678.464737,454692889.2821579
1,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,30,4013282072.731088,133776069.09103628
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,30,3897001511.0444736,129900050.36814912
3,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,30,1741261203.4836714,58042040.11612238
4,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,30,1402089116.935923,46736303.8978641
5,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,30,1032015718.8951344,34400523.96317115
6,0x5d752f322befb038991579972e912b02f61a3dda,AGLD,WETH,30,937367906.8435781,31245596.894785937
7,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,30,879213209.4303205,29307106.981010683
8,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,30,705750680.6430709,23525022.688102365
9,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,30,700645671.5579875,23354855.71859958
10,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,30,616254840.1484479,20541828.004948262
11,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI,USDC,30,550088188.9943027,18336272.966476757
12,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,30,441313644.3980067,14710454.81326689
13,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI,WETH,30,396503988.8710981,13216799.629036603
14,0x3019d4e366576a88d28b623afaf3ecb9ec9d9580,AXS,WETH,30,387496335.606552,12916544.5202184
15,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,30,373599017.12585807,12453300.570861936
16,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,30,366163983.5453443,12205466.118178142
17,0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,ETH2x-FLI,WETH,30,313286839.8150426,10442894.66050142
18,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,DAI,USDT,30,250832318.25301167,8361077.2751003895
19,0x3b685307c8611afb2a9e83ebc8743dc20480716e,FTM,WETH,30,194740940.82078755,6491364.694026251
20,0x92995d179a5528334356cb4dc5c6cbb1c068696c,USDC,UST,30,155528874.51173404,5184295.817057801
21,0x07f3d316630719f4fc69c152f397c150f0831071,EURT,USDT,30,136965295.51044774,4565509.850348258
22,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,30,135741243.67124596,4524708.122374865
23,0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,QNT,WETH,30,134540109.60400683,4484670.320133561
24,0x9359c87b38dd25192c5f2b07b351ac91c90e6ca7,DPI,WETH,30,122025024.88405654,4067500.829468551
25,0xcd83055557536eff25fd0eafbc56e74a1b4260b3,PERP,WETH,30,115255413.38619937,3841847.1128733126
26,0xf8a95b2409c27678a6d18d950c5d913d5c38ab03,GALA,WETH,30,111694716.66450647,3723157.2221502154
27,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC,WETH,30,109452160.95435181,3648405.3651450602
28,0xcbbc981bd5b358d09a9346726115d3ac8822d00b,VXV,WETH,30,108863480.47832687,3628782.682610896
29,0xe331de28cd81b768c19a366b0e4e4675c45ec2da,XYO,WETH,30,105404813.40595436,3513493.7801984786
30,0x0cfbed8f2248d2735203f602be0cae5a3131ec68,WETH,SLP,30,104757812.0672327,3491927.068907757
31,0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,USDT,30,96046678.23552325,3201555.9411841086
32,0x7685cd3ddd862b8745b1082a6acb19e14eaa74f3,RARE,WETH,30,91081042.35646316,3036034.745215439
33,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,30,78644998.94185598,2621499.964728533
34,0x73a6a761fe483ba19debb8f56ac5bbf14c0cdad1,SUSHI,WETH,30,76391605.7259761,2546386.8575325366
35,0xbd5fdda17bc27bb90e37df7a838b1bfc0dc997f5,USDC,EURS,30,75153527.53569297,2505117.584523099
36,0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,COMP,WETH,30,74110384.17499746,2470346.139166582
37,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB,WETH,30,71972217.99616012,2399073.9332053373
38,0x9d2713fa2f387ed1284a4176e7841253b4da2a71,FTX Token,WETH,30,70829372.00159448,2360979.066719816
39,0x5720eb958685deeeb5aa0b34f677861ce3a8c7f5,PAX,USDC,30,68869052.72924602,2295635.0909748673
40,0x8f8ef111b67c04eb1641f5ff19ee54cda062f163,WBTC,PAX,30,64656935.79084132,2155231.193028044
41,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,Metis,WETH,30,64616657.73768816,2153888.591256272
42,0x1754b94a3e63be72efe44a1828cd81c4782a46c4,USDC,EURT,30,64418082.324145004,2147269.4108048333
43,0xd83d78108dd0d1dffff11ea3f99871671a52488b,PAX,WETH,30,62918082.49337809,2097269.416445936
44,0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f,WBTC,renBTC,30,62803120.14965649,2093437.338321883
45,0x06729eb2424da47898f935267bd4a62940de5105,CEL,WETH,30,62304854.492785186,2076828.4830928396
46,0x80c7770b4399ae22149db17e97f9fc8a10ca5100,LYXe,WETH,30,59504085.478403114,1983469.5159467706
47,0xfa7d7a0858a45c1b3b7238522a0c0d123900c118,RAI,USDC,30,54711502.363613,1823716.7454537668
