,token0,token1,id,createdAtBlockNumber,createdAtTimestamp,feeTier
0,"{'id': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', 'symbol': 'UNI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,12369739,1620157956,3000
1,"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}","{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}",0x6c6bc977e13df9b0de53b251522280bb72383700,12369760,1620158293,500
2,"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,12369811,1620158865,10000
3,"{'id': '0x2260fac5e5542a773aa44fbcfedf7c193bc2c599', 'symbol': 'WBTC'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,12369821,1620158974,3000
4,"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,12369854,1620159368,3000
5,"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,12369863,1620159478,500
6,"{'id': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', 'symbol': 'MKR'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x886072a44bdd944495eff38ace8ce75c1eacdaf6,12369879,1620159675,500
7,"{'id': '0x23b608675a2b2fb1890d3abbd85c5775c51691d5', 'symbol': 'SOCKS'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xf83d5aaab14507a53f97d3c18bdb52c4a62efc40,12369901,1620159876,3000
8,"{'id': '0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d', 'symbol': 'LQTY'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,12369922,1620160120,3000
9,"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,12370078,1620162016,500
10,"{'id': '0x0cec1a9154ff802e7934fc916ed7ca50bde6844e', 'symbol': 'POOL'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xff2bdf3044c601679dede16f5d4a460b35cebfee,12370088,1620162137,3000
11,"{'id': '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e', 'symbol': 'YFI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x04916039b1f59d9745bf6e0a21f191d1e0a84287,12370239,1620164244,3000
12,"{'id': '0xc00e94cb662c3520282e6f5717214004a7f26888', 'symbol': 'COMP'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x5598931bfbb43eec686fa4b5b92b5152ebadc2f6,12370256,1620164375,10000
13,"{'id': '0xc00e94cb662c3520282e6f5717214004a7f26888', 'symbol': 'COMP'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,12370351,1620165723,3000
14,"{'id': '0x956f47f50a910163d8bf957cf5846d573e7f87ca', 'symbol': 'FEI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xdc7b403e2e967eaf6c97d79316d285b8a112fda7,12370396,1620166260,500
15,"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}","{'id': '0xdc2b82bc1106c9c5286e59344896fb0ceb932f53', 'symbol': 'UNI-V2'}",0x1470ee019f673d0a4ec2c7cd0322a8c17c4f1a61,12370537,1620168375,3000
16,"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}","{'id': '0x956f47f50a910163d8bf957cf5846d573e7f87ca', 'symbol': 'FEI'}",0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8,12370594,1620169433,500
17,"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,12370624,1620169800,3000
18,"{'id': '0x2260fac5e5542a773aa44fbcfedf7c193bc2c599', 'symbol': 'WBTC'}","{'id': '0xc36442b4a4522e871399cd717abdd847ab11fe88', 'symbol': 'UNI-V3-POS'}",0x1c74dde716d3f2a1df5097b7c2543c5d97cfa4d3,12370687,1620170612,3000
19,"{'id': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', 'symbol': 'MKR'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xe8c6c9227491c0a8156a0106a0204d881bb7e531,12371099,1620175942,3000
20,"{'id': '0x6243d8cea23066d098a15582d81a598b4e8391f4', 'symbol': 'FLX'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x8581788cef3b7ee7313fea15fe279dc2f6c43899,12371145,1620176780,3000
21,"{'id': '0x03ab458634910aad20ef5f1c8ee96f1d6ac54919', 'symbol': 'RAI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x14de8287adc90f0f95bf567c0707670de52e3813,12371220,1620177708,3000
22,"{'id': '0x03ab458634910aad20ef5f1c8ee96f1d6ac54919', 'symbol': 'RAI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x0dc9877f6024ccf16a470a74176c9260beb83ab6,12371524,1620181858,500
23,"{'id': '0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd', 'symbol': 'ETH2x-FLI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,12372402,1620193312,3000
24,"{'id': '0x03ab458634910aad20ef5f1c8ee96f1d6ac54919', 'symbol': 'RAI'}","{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}",0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,12375267,1620231914,500
25,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,12375326,1620232628,3000
26,"{'id': '0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', 'symbol': 'AAVE'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,12375644,1620236624,3000
27,"{'id': '0x514910771af9ca656af840dff83e8264ecf986ca', 'symbol': 'LINK'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,12375680,1620237038,3000
28,"{'id': '0x30bcd71b8d21fe830e493b30e90befba29de9114', 'symbol': '🐟'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x3fe55d440adb6e07fa8e69451f5511d983882487,12375729,1620237603,10000
29,"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x60594a405d53811d3bc4766596efd80fd545a270,12375738,1620237823,500
30,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xf65b5c5104c4fafd4b709d9d60a185eae063276c', 'symbol': 'TRU'}",0x2efec2097beede290b2eed63e2faf5ecbbc528fc,12375752,1620237966,3000
31,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xf418588522d5dd018b425e472991e52ebbeeeeee', 'symbol': 'PUSH'}",0x788f0399b9f012926e255d9f22ceea845b8f7a32,12375778,1620238284,3000
32,"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0xbb256c2f1b677e27118b0345fd2b3894d2e6d487,12375837,1620239057,10000
33,"{'id': '0x86772b1409b61c639eaac9ba0acfbb6e238e5f83', 'symbol': 'NDX'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x5447b274859457f11d7cc7131b378363bbee4e3a,12375847,1620239157,3000
34,"{'id': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2', 'symbol': 'SUSHI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x19e286157200418d6a1f7d1df834b82e65c920aa,12375874,1620239567,10000
35,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xfca59cd816ab1ead66534d82bc21e7515ce441cf', 'symbol': 'RARI'}",0xfaace66bd25abff62718abd6db97560e414ec074,12375885,1620239643,3000
36,"{'id': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'symbol': 'cDAI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x82bd0e16516f828a0616038002e152aa6f27aedc,12375890,1620239699,3000
37,"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}","{'id': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', 'symbol': 'MKR'}",0x2a84e2bd2e961b1557d6e516ca647268b432cba4,12375916,1620240133,3000
38,"{'id': '0x63b4f3e3fa4e438698ce330e365e831f7ccd1ef4', 'symbol': 'CFi'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x32a2c4c25babedc810fa466ab0f0c742df3a3555,12375922,1620240175,3000
39,"{'id': '0x17ef75aa22dd5f6c2763b8304ab24f40ee54d48a', 'symbol': 'RVP'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xefbd546647fda46067225bd0221e08ba91071584,12375929,1620240264,10000
40,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xf65b5c5104c4fafd4b709d9d60a185eae063276c', 'symbol': 'TRU'}",0x86e69d1ae728c9cd229f07bbf34e01bf27258354,12375947,1620240623,10000
41,"{'id': '0x61ceac48136d6782dbd83c09f51e23514d12470a', 'symbol': 'Subs'}","{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}",0x3482296547783cb714c49e13717cd163b2951ba8,12375960,1620240784,3000
42,"{'id': '0x0d8775f648430679a709e98d2b0cb6250d2887ef', 'symbol': 'BAT'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xae614a7a56cb79c04df2aeba6f5dab80a39ca78e,12375964,1620240807,3000
43,"{'id': '0x70401dfd142a16dc7031c56e862fc88cb9537ce0', 'symbol': 'BIRD'}","{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}",0x2552018fa2768fd0af10d32a4c38586a9bade6ce,12375966,1620240827,10000
44,"{'id': '0x469eda64aed3a3ad6f868c44564291aa415cb1d9', 'symbol': 'FLUX'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x07aa6584385cca15c2c6e13a5599ffc2d177e33b,12375968,1620240854,10000
45,"{'id': '0x3155ba85d5f96b2d030a4966af206230e46849cb', 'symbol': 'RUNE'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x3139bbba7f4b9125595cb4ebeefdac1fce7ab5f1,12375969,1620240859,3000
46,"{'id': '0x8eb24319393716668d768dcec29356ae9cffe285', 'symbol': 'AGI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x7ddc2c3d12a9212112e5f99602ab16c338ec1116,12375974,1620240931,10000
47,"{'id': '0x87d73e916d7057945c9bcd8cdd94e42a6f47f776', 'symbol': 'NFTX'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x3cec6746ebd7658f58e5d786e0999118fea2905c,12375977,1620240957,3000
48,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xe2311ae37502105b442bbef831e9b53c5d2e9b3b', 'symbol': 'BANANA'}",0x85498e26aa6b5c7c8ac32ee8e872d95fb98640c4,12375980,1620240982,10000
49,"{'id': '0x9b00e6e8d787b13756eb919786c9745054db64f9', 'symbol': 'wSIENNA'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x5eb5dc3d8c74413834f1ca65c3412f48cd1c67a6,12375982,1620241021,10000
50,"{'id': '0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c', 'symbol': 'BNT'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x35815d67f717e7bce9cc8519bdc80323ecf7d260,12375991,1620241199,3000
51,"{'id': '0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24', 'symbol': 'RNDR'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x4628a0a564debfc8798eb55db5c91f2200486c24,12375996,1620241290,3000
52,"{'id': '0xad1b76e3c019359bf78b6ab5e0f84e3488ffc2a2', 'symbol': 'UNI-V3'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x2356b745747ed77191844c025eddc894fce5f5f6,12376003,1620241375,10000
