,id,token0,token1,createdDate,feeTier,liquidity,volumeUSD,totalValueLockedToken0,totalValueLockedToken1,totalValueLockedUSD,txCount,mintsCount,burnsCount,swapsCount
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,2021-05-05 22:42:11,500,9670302035636772675,231469534384.0877049808091689946775,95862999.345161,80443.45821087998726568,194761590.6544868765373568537904748,2235803,25921.0,27282.0,2182600.0
1,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,2021-05-05 21:23:50,500,2076259659819189162,30383563449.34557480639967836965309,2583.31799026,39332.057859891692699176,103656319.1798817241586453434914793,267548,4764.0,5074.0,257710.0
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,2021-05-05 00:10:00,3000,12653590189337695584,56457491569.47386026555041148591697,168495158.770183,141400.1536037836858642,342334590.9143040863627363379135799,380116,53476.0,53078.0,273562.0
3,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,2021-11-13 17:45:57,100,65532774381697524,19885607715.90335440256444110170698,62041444.588745,77729222.013912,139770666.602657,138322,828.0,773.0,136721.0
4,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,2021-05-05 22:46:12,500,767864038731099037,43391108887.47958320530507266889241,8364.9041640769229543,13253797.746932,23537734.16964473304514477769949961,1109733,4034.0,4846.0,1100853.0
5,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,2021-05-05 17:37:08,3000,4297906870656654832,25100906298.87099192633186006114199,58300.636580869236761896,56191815.403818,127867635.3961649796240843105011191,255243,13547.0,20561.0,221135.0
6,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,2021-11-13 02:45:03,100,3500911640276863817091200,9090636697.788364241642734127146811,313571053.141204888993865349,387517594.739397,701087954.8437769097929565957574509,73984,973.0,625.0,72386.0
7,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE,WETH,2022-03-17 11:32:15,3000,237507997120063057111832,4605655403.360031592080014640918966,1460179.643158699753685122,6083.667047599752405715,15013340.9007917066618292627774377,175802,4834.0,4963.0,166005.0
8,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,2021-05-04 21:09:34,3000,1647648462691185641,14362759014.48379920178203556682978,4530.51006461,68093.841710802113169098,180701687.7859749331869847526287689,108395,13117.0,15521.0,79757.0
9,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,2021-05-05 20:13:15,3000,31010340394819,9633934913.252964705625164853820402,2054.22153401,33760598.993595,77735530.25943016604453017702331454,110090,4739.0,9715.0,95636.0
10,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,WETH,LOOKS,2022-01-10 20:13:27,3000,279783078329206492443000,5352756130.180184123093570970735034,5646.906948658669542207,15017700.338073203481068125,12467658.07536497007186703480665431,266296,3797.0,4091.0,258408.0
11,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,2021-05-04 21:16:08,3000,2312210731253875501209170,10790175384.56024715341789662392544,39642992.127059834119856743,24989.935940824189034498,70366362.43343556464017363571480602,132558,6154.0,6806.0,119598.0
12,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,2021-05-05 19:03:43,500,392172099224018701275937,20884541913.04951323497000897858569,6551992.441645076815475923,3769.624727861238990727,11186424.62142949493081937861686528,425438,1899.0,2215.0,421324.0
13,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,2021-05-04 21:17:58,500,6821583577100759,9202758933.112445472406756188074297,10645719.385458,10853798.592811,21499517.978269,166360,4150.0,4306.0,157904.0
14,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,2021-05-06 08:52:18,500,25688197526300816662985,2531100001.707932554251595080797099,78530299.626173327274625982,58722726.133273,137183113.5807461439216902733446051,47404,1393.0,7165.0,38846.0
15,0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f,WBTC,renBTC,2021-05-07 23:57:38,500,35053367096432,849582813.0956064137519442360842104,123.98901212,339.30085684,9871034.951301966169438879338989004,9372,188.0,275.0,8909.0
16,0x9a834b70c07c81a9fcd6f22e842bf002fbffbe4d,FRAX,USDC,2022-04-12 06:31:17,100,18774649758552053845474,524995012.336352,638303.201936859949907455,6189725.459533,6827460.407334435310928500669223874,11202,86.0,83.0,11033.0
17,0xdf50fbde8180c8785842c8e316ebe06f542d3443,FEI,USDC,2021-12-06 20:44:11,100,3663754928760110501091,1134722734.50157158418252886885172,1428794.67079685701347504,516284.672233,1945079.343029857013475039999999999,11687,284.0,222.0,11181.0
18,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,2021-05-05 22:10:59,3000,1028012946511516,3409839764.972745076600388248524395,85407569.27988038,10822324.143948,15052339.95397745011012664955507665,166374,2230.0,3025.0,161119.0
19,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,2021-05-05 18:50:38,3000,163196066554017340620096,3556477116.885090345951010533677121,684993.490037026346173436,4352.124504730711199579,10273804.01833390521524269743970991,97080,5439.0,7134.0,84507.0
20,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,2021-05-05 20:36:24,3000,857484755553404072,1022849997.761591765347435828935347,14245698.77205394,675.562501965656144867,1536099.075276929911272825781134078,176644,1291.0,1627.0,173726.0
21,0xe05e653453f733786f2dabae0ffa1e96cfcc4b25,HEX,USDC,2021-06-21 19:51:48,10000,5569835429091,404516920.308766,20070085.32296241,1935117.027922,2919564.401200992522259287950659955,18541,483.0,666.0,17392.0
22,0x735a26a57a0a0069dfabd41595a970faf5e1ee8b,agEUR,USDC,2022-04-19 14:15:02,100,115363399751729751574,269404589.859583,12339751.679766317442498752,2986854.270656,15995355.55671492433131090954979858,7164,60.0,43.0,7061.0
23,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,WETH,2021-05-05 01:52:22,3000,16378073981421658756839,808446958.2393795248035666008321543,6965.449682212468079709,3464.439260867170415588,11682797.6812956593378365011712426,31395,1098.0,1330.0,28967.0
24,0x92560c178ce069cc014138ed3c2f5221ba71f58a,WETH,ENS,2021-11-08 23:54:33,3000,58702199797750118502693,1941648240.034679079727184474123437,1719.920899289508135374,183992.422674094779909118,3926027.473690132425494390094418647,93315,2144.0,2743.0,88428.0
25,0x97e7d56a0408570ba1a7852de36350f7713906ec,DAI,FRAX,2021-05-28 17:27:05,500,5870426025941464726288886676,818446711.4566999119331767315026842,12451887.627995995062664621,17663167.141014314750530437,30099330.00413035728531591050710069,18954,596.0,2113.0,16245.0
26,0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,USDT,2021-05-05 20:21:53,3000,377441772220,815849194.8621872676484629182769645,182.29929834,1415815.83862,5298419.432344290065452610197231673,36563,601.0,850.0,35112.0
27,0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI,DAI,2021-05-05 17:25:14,500,160618066387567899095350997,914061592.8736663547292313139454062,342801.04408818471867573,3859450.855744835592356673,4901373.216984429533416111367597657,17823,2057.0,2051.0,13715.0
28,0xc2a856c3aff2110c1171b8f942256d40e980c726,FRAX,USDT,2021-08-12 08:22:10,500,9012781424970269870888,738814200.7162965993686598266810617,2735108.179410170245149203,6077115.961707,8809789.190878682600013552660818207,15445,20.0,50.0,15375.0
