,${\it VShare}$,${\it VShare}^{\it In}$,${\it VShare}^{\it Out}$,${\it BorrowAPY}^{USD}$,${\it SupplyAPY}^{USD}$,${\it SupplyShare}$,${\it BorrowShare}$,${\it LiquidityShare}$,${\it EigenCent}^{In}$,${\it EigenCent}^{Out}$,${\it BetwCent}^C$,${\it BetwCent}^V$,${R}^{\it USD}$,${\it CovGas}$,${\it CovETH}$,${\it CovSP}$,${\it \sigma}^{USD}$,${	 GasPrice}$,${\i Nonstable}$,${\i IsWETH}$,beta,cov_semtiment,average_return,${\it MCap}^{USD}$,${\it ExchangeRate}^{USD}$
Volume_share,1.0,1.0,1.0,-0.25,-0.11,0.59,0.09,0.95,0.95,0.95,0.86,0.81,0.01,0.06,-0.01,-0.03,-0.09,-0.01,-0.17,0.83,-0.01,0.04,0.04,0.24,-0.03
volume_in_share,1.0,1.0,0.99,-0.25,-0.11,0.59,0.09,0.95,0.95,0.95,0.86,0.81,0.02,0.06,-0.01,-0.03,-0.09,-0.01,-0.17,0.83,-0.01,0.04,0.04,0.24,-0.03
volume_out_share,1.0,0.99,1.0,-0.25,-0.11,0.59,0.09,0.95,0.95,0.95,0.86,0.81,0.01,0.06,-0.01,-0.03,-0.09,-0.01,-0.17,0.83,-0.01,0.04,0.04,0.24,-0.03
borrow_rate,-0.25,-0.25,-0.25,1.0,-0.0,-0.0,-0.0,-0.28,-0.15,-0.15,-0.3,-0.27,-0.0,0.01,-0.03,-0.03,-0.01,0.0,0.0,-0.0,-0.03,0.02,-0.0,-0.0,-0.03
supply_rates,-0.11,-0.11,-0.11,-0.0,1.0,0.12,0.34,-0.13,0.06,0.06,-0.28,-0.24,-0.01,-0.02,-0.32,-0.34,-0.43,0.08,-0.36,-0.15,-0.46,0.07,0.01,0.25,-0.32
Supply_share,0.59,0.59,0.59,-0.0,0.12,1.0,0.69,0.61,0.59,0.6,0.46,0.43,0.01,-0.0,0.06,0.02,-0.05,-0.04,-0.3,0.5,-0.03,0.01,0.07,-0.07,-0.02
Borrow_share,0.09,0.09,0.09,-0.0,0.34,0.69,1.0,0.1,0.21,0.21,-0.18,-0.14,0.0,0.01,-0.34,-0.39,-0.51,-0.03,-0.65,-0.08,-0.55,0.08,0.01,0.16,-0.24
TVL_share,0.95,0.95,0.95,-0.28,-0.13,0.61,0.1,1.0,0.9,0.9,0.87,0.83,0.02,0.07,-0.04,-0.06,-0.11,-0.01,-0.21,0.79,-0.04,0.04,0.05,0.22,0.03
Inflow_centrality,0.95,0.95,0.95,-0.15,0.06,0.59,0.21,0.9,1.0,0.99,0.69,0.65,0.02,0.06,-0.08,-0.09,-0.13,-0.01,-0.27,0.69,-0.1,0.05,0.05,0.34,-0.01
Outflow_centrality,0.95,0.95,0.95,-0.15,0.06,0.6,0.21,0.9,0.99,1.0,0.69,0.65,0.01,0.06,-0.08,-0.1,-0.14,-0.01,-0.27,0.69,-0.1,0.05,0.05,0.34,-0.01
