Date,herfindahl_volume,herfindahl_inflow_centrality,herfindahl_outflow_centrality,herfindahl_betweenness_centrality_count,herfindahl_betweenness_centrality_volume,herfindahl_tvl,total_volumes,S&P,S&P_volatility,Gas_fee,Gas_fee_volatility,boom,bust
2015-07-30,,,,,,,,,,0.0,,0,0
2015-07-31,,,,,,,,,,0.0,,0,0
2015-08-01,,,,,,,,,,0.0,,0,0
2015-08-02,,,,,,,,,,0.0,,0,0
2015-08-03,,,,,,,,,,0.0,,0,0
2015-08-04,,,,,,,,,,0.0,,0,0
2015-08-05,,,,,,,,,,0.0,,0,0
2015-08-06,,,,,,,,,,0.0,,0,0
2015-08-07,,,,,,,,,,1.6749751089899e-06,,0,0
2015-08-08,,,,,,,,,,2.6139799574109e-07,,0,0
2015-08-09,,,,,,,,,,3.518456754955201e-07,,0,0
2015-08-10,,,,,,,,,,2.8672533489272004e-07,,0,0
2015-08-11,,,,,,,,,,8.250914831172e-08,,0,0
2015-08-12,,,,,,,,,,5.5612797376375e-07,,0,0
2015-08-13,,,,,,,,,,4.7825658585956e-07,,0,0
2015-08-14,,,,,,,,,,3.482198900154001e-07,,0,0
2015-08-15,,,,,,,,,,2.5842039760232e-07,,0,0
2015-08-16,,,,,,,,,,1.6568792783607006e-07,,0,0
2015-08-17,,,,,,,,,,1.58579992014e-07,,0,0
2015-08-18,,,,,,,,,,1.8607152812036006e-07,,0,0
2015-08-19,,,,,,,,,,2.4517502093448e-07,,0,0
2015-08-20,,,,,,,,,,1.4653743854548004e-07,,0,0
2015-08-21,,,,,,,,,,1.1454250708944e-07,,0,0
2015-08-22,,,,,,,,,,7.6844945287973e-07,,0,0
2015-08-23,,,,,,,,,,9.91433017881e-08,,0,0
2015-08-24,,,,,,,,,,1.145881702342e-07,,0,0
2015-08-25,,,,,,,,,,8.942583267189e-08,,0,0
2015-08-26,,,,,,,,,,7.015814623684e-08,,0,0
2015-08-27,,,,,,,,,,6.701701391253999e-08,,0,0
2015-08-28,,,,,,,,,,1.2074387953550002e-07,,0,0
2015-08-29,,,,,,,,,,6.632908700712e-08,,0,0
2015-08-30,,,,,,,,,,7.280525268324001e-08,,0,0
2015-08-31,,,,,,,,,,7.887175411815e-08,,0,0
2015-09-01,,,,,,,,,,7.650659203020002e-08,,0,0
2015-09-02,,,,,,,,,,7.642431030729001e-08,,0,0
2015-09-03,,,,,,,,,,6.936486916086e-08,,0,0
2015-09-04,,,,,,,,,,7.464934963928e-08,,0,0
2015-09-05,,,,,,,,,,7.503235778142e-08,,0,0
2015-09-06,,,,,,,,,,7.16167641176e-08,0.7873834282545876,0,0
2015-09-07,,,,,,,,,,6.645688318988002e-08,0.7144604366936089,0,0
2015-09-08,,,,,,,,,,7.986714696753001e-08,0.7128832005423226,0,0
2015-09-09,,,,,,,,,,6.507379731864e-08,0.7128845131009333,0,0
2015-09-10,,,,,,,,,,6.33715628972e-08,0.6761467550768728,0,0
2015-09-11,,,,,,,,,,5.4599526898840004e-08,0.5712119432228202,0,0
2015-09-12,,,,,,,,,,6.430341056672001e-08,0.5726999602608935,0,0
2015-09-13,,,,,,,,,,4.917471330448e-08,0.5720296145665528,0,0
2015-09-14,,,,,,,,,,4.678197900159001e-08,0.5703359701012568,0,0
2015-09-15,,,,,,,,,,4.999963540436e-08,0.565977640923384,0,0
2015-09-16,,,,,,,,,,1.0036670338620001e-07,0.5817361344629275,0,0
2015-09-17,,,,,,,,,,4.951774958587e-08,0.5941157740470485,0,0
2015-09-18,,,,,,,,,,4.73476791711e-08,0.5910372758636155,0,0
2015-09-19,,,,,,,,,,4.5959298266860004e-08,0.584622771253359,0,0
2015-09-20,,,,,,,,,,4.973572468258e-08,0.5836538799460078,0,0
2015-09-21,,,,,,,,,,4.60542422565e-08,0.45565099151367217,0,0
2015-09-22,,,,,,,,,,4.63188973464e-08,0.26730988266148853,0,0
2015-09-23,,,,,,,,,,4.6559548841400016e-08,0.26545451140605314,0,0
2015-09-24,,,,,,,,,,4.3952743869930005e-08,0.2623227997361435,0,0
2015-09-25,,,,,,,,,,3.8702146087100006e-08,0.2598347346980921,0,0
2015-09-26,,,,,,,,,,4.3146213287580014e-08,0.2608314000438102,0,0
2015-09-27,,,,,,,,,,3.673870552944e-08,0.2357291184708996,0,0
2015-09-28,,,,,,,,,,3.108336021538e-08,0.21242510633145248,0,0
2015-09-29,,,,,,,,,,3.769725646480001e-08,0.2151066036267888,0,0
2015-09-30,,,,,,,,,,3.705226060248e-08,0.21424785427204238,0,0
2015-10-01,,,,,,,,,,3.5002775119920003e-08,0.2143246977538587,0,0
2015-10-02,,,,,,,,,,3.5746045755960004e-08,0.21445140660466833,0,0
2015-10-03,,,,,,,,,,3.622677911463e-08,0.21412683645268368,0,0
2015-10-04,,,,,,,,,,3.399128158365e-08,0.21348992663121505,0,0
2015-10-05,,,,,,,,,,3.196797561909e-08,0.213498458718344,0,0
2015-10-06,,,,,,,,,,3.3907826148900014e-08,0.214057343254971,0,0
2015-10-07,,,,,,,,,,3.122060170165e-08,0.2141246352233853,0,0
2015-10-08,,,,,,,,,,3.5322559481220004e-08,0.21236933525144383,0,0
2015-10-09,,,,,,,,,,4.027567193520001e-08,0.2115374648074584,0,0
2015-10-10,,,,,,,,,,4.0882780877400004e-08,0.2116018660308041,0,0
2015-10-11,,,,,,,,,,3.5480576450970005e-08,0.21144684309336098,0,0
2015-10-12,,,,,,,,,,3.235673869722e-08,0.20916804951858728,0,0
2015-10-13,,,,,,,,,,3.19317750936e-08,0.20397100710983124,0,0
2015-10-14,,,,,,,,,,2.956797910365e-08,0.20419273743274743,0,0
2015-10-15,,,,,,,,,,3.070096287608e-08,0.2038612228304548,0,0
2015-10-16,,,,,,,,,,2.8304621505610003e-08,0.15321796776577765,0,0
2015-10-17,,,,,,,,,,2.949075398665001e-08,0.08862871415552351,0,0
2015-10-18,,,,,,,,,,2.7043427898240003e-08,0.08940227785618958,0,0
2015-10-19,,,,,,,,,,2.570384168289e-08,0.08957467900213673,0,0
