,count,mean,std,min,25%,50%,75%,max
${\it VShare}$,58511.0,0.016372989694245485,0.06615897979161614,0.0,0.00025399265327994997,0.0009209924486445,0.00328374599862195,0.5
${\it VShare}^{\it In}$,58436.0,0.016376890957628815,0.06619374710926539,0.0,0.00023790099022695,0.0009051912158852,0.0032834857651451,0.6060238436404403
${\it VShare}^{\it Out}$,58436.0,0.016376890957628818,0.06638139108448252,0.0,0.0002557275633271,0.00093247677806455,0.003279203492477175,0.7352507738058367
${\it BorrowAPY}^{USD}$,12332.0,6.53240769922641e+229,inf,0.0,0.029104308436496952,0.04375603243657365,0.0678878109206448,8.05576517468601e+233
${\it SupplyAPY}^{USD}$,12332.0,0.014037800135110383,0.026239554050019934,0.0,0.0008090032035239501,0.00442494935833395,0.0181344577000373,0.6331473257980882
${\it SupplyShare}$,13368.0,0.0774985038898863,0.12229193314846111,0.0,0.0020477320727012244,0.010482664643260422,0.13075915402264005,1.0
${\it BorrowShare}$,13368.0,0.0774985038898863,0.1654435341519877,0.0,0.00029665849196203534,0.003122753541659815,0.03130974815347176,1.0
${\it LiquidityShare}$,58436.0,0.01637689095762881,0.05963024314366531,0.0,0.00045592358826655,0.0012185594593418498,0.0035927402877754004,0.5
${\it EigenCent}^{In}$,58511.0,0.037847047716753394,0.12223275348462914,-1.6653345369377348e-16,0.0005679608583452501,0.0025172218851474,0.011357671001118851,0.936524464249496
${\it EigenCent}^{Out}$,58511.0,0.03778500903405107,0.12225194566058319,-1.6653345369377346e-16,0.00061563599876115,0.0025651693230266,0.011341646958182901,0.8835949074807509
${\it BetwCent}^C$,44852.0,0.012238230180124085,0.09190509931918597,0.0,0.0,0.0,0.0,0.987871581450654
${\it BetwCent}^V$,44852.0,0.009613458514296005,0.07699071217314654,0.0,0.0,0.0,0.0,0.9939917873910604
${R}^{\it USD}$,27621.0,-2.3065283480665378e-05,0.07146567801509757,-6.770549037666964,-0.009831504965457594,5.0049802962391166e-05,0.010888983908087013,1.3523703768919901
${\it CovGas}$,26693.0,0.0008094608352337912,0.008101637713936067,-0.04888857358516581,-0.00026885799376310805,4.353771207446216e-05,0.0011787854078111394,0.2426336382949298
${\it CovETH}$,26693.0,-0.0002221766766996807,0.0008529440735747952,-0.009390514648948682,-0.00023829126465964932,-2.059226990642818e-05,2.508054206026617e-05,0.005559910768350273
${\it CovSP}$,26693.0,6.164953311675783e-05,0.0006815944488774612,-0.016372357182593517,-2.1223838894472412e-05,9.969819379017263e-06,0.00017190706667505443,0.005168780040642155
${\it \sigma}^{USD}$,26693.0,0.03969238371074475,0.05852189371420583,0.0004589865286975375,0.004418081150615534,0.032786123523261386,0.05829424329732445,1.4061872159038866
beta,26662.0,0.07108254129723815,0.3612225811671043,-3.816170194906376,-0.02495719444144604,0.012203404464188536,0.20929552792418116,2.155849413713603
sentiment,76985.0,43.13058387997662,24.63483391642741,5.0,23.0,33.0,70.0,95.0
average_return,26693.0,2.041506745840761e-05,0.0182065886596768,-0.46054880563411776,-0.0017640219752722785,-3.0073895115774e-06,0.002271679111773726,0.08178426291289878
