,count,mean,std,min,25%,50%,75%,max
${\it VShare}$,60665.0,0.016055386136981743,0.06556718994745321,0.0,0.0002398932798613,0.0008829158519933,0.0031687118124973,0.4978989145215525
${\it VShare}^{\it In}$,60590.0,0.016058755570226065,0.06557323471855739,0.0,0.00022379108859280002,0.0008645458344575,0.0031769288577611,0.5743514547468394
${\it VShare}^{\it Out}$,60590.0,0.016058755570226065,0.06580246134720659,0.0,0.00024130860146865,0.00089113203428135,0.0031612661647168246,0.7352507738058367
${\it BorrowAPY}^{USD}$,12180.0,6.613928714848941e+229,inf,0.0,0.02917893612165925,0.0436164623332093,0.06718924407888455,8.05576517468601e+233
${\it SupplyAPY}^{USD}$,12180.0,0.013660397055437097,0.026204904679589146,0.0,0.0008291218665173,0.0046374391561889,0.01736403911201665,0.6331473257980882
${\it SupplyShare}$,13155.0,0.07411630558722918,0.11908041863370153,0.0,0.0014090083374717253,0.010064940839783584,0.12316729638130705,1.0
${\it BorrowShare}$,13155.0,0.0741163055872292,0.16201550302402817,0.0,0.0001868296730086603,0.0027863468286149357,0.029206269563675863,1.0
${\it LiquidityShare}$,269556.0,0.0034488154538776118,0.02594826254272566,-4.57550483975078e-05,3.583714880437134e-05,0.0001454052752437,0.000506994649230675,0.9999999999944248
${\it EigenCent}^{In}$,60665.0,0.036984021177796984,0.12119327715644476,-1.6653345369377348e-16,0.0005300301792401,0.0023817005060117,0.0108485991697529,0.936524464249496
${\it EigenCent}^{Out}$,60665.0,0.03691573352766973,0.12121409551574215,-1.6653345369377346e-16,0.0005738258549671,0.0024308561131776,0.0108474125447274,0.8835949074807509
${\it BetwCent}^C$,60331.0,0.010522965947483736,0.08196163107399543,0.0,0.0,0.0,0.0,0.987871581450654
${\it BetwCent}^V$,60331.0,0.00776834116599535,0.06688955188663585,0.0,0.0,0.0,0.0,0.9939917873910604
${R}^{\it USD}$,294569.0,-0.00176477582355103,0.403673192827732,-91.14004978175916,-0.040524650641973636,-0.0016798620578191148,0.03135040465503103,90.91613558739962
${\it CorrGas}$,274837.0,-0.01160118962887177,0.19873862363039518,-0.7501786962674952,-0.14901680087475444,-0.014644470070875125,0.12511479921795957,0.7528188187537971
${\it CorrETH}$,274837.0,0.47360336600645797,0.3060111824840007,-0.7335825728483316,0.26393682361095133,0.5161029673734846,0.7179915040124254,0.9996665960273011
${\it CorrSP}$,275980.0,0.3705847111199689,0.2690271490580847,-0.6925792589490608,0.18792855277876963,0.3993374165166854,0.5768789610742734,0.9474090696912985
${\it \sigma}^{USD}$,275980.0,0.0971853935549332,0.4052402279009292,0.0004250508297437832,0.04856647693088849,0.0717664169774603,0.10558622136340831,23.905280973433708
${	 GasPrice}$,305033.0,0.00017204304443174366,0.00018931910233449883,5.6120763208273205e-06,3.415974415483266e-05,8.934067108614581e-05,0.0002705005865994,0.0013411575818965
${\i Nonstable}$,158318.0,0.905348728508445,0.29273358120956045,0.0,1.0,1.0,1.0,1.0
${\i IsWETH}$,306264.0,0.003183527936682078,0.056332969460271866,0.0,0.0,0.0,0.0,1.0
${\it exceedance}^{USD}$,13544.0,0.9605039243068644,2.326055200115595,-52.33596995845186,0.5790542293924459,1.000794140916775,1.3505741383383316,237.5038054988568
${	 \sigma}_{Gas}$,305033.0,0.28806902266877726,0.11109221381624071,0.13264109225289458,0.21541199842768818,0.2831187420355826,0.31826851224381325,0.7809089229909877
${\it Beta}$,289295.0,-4.101586274282571e+35,4.105246673794097e+37,-5.531402033478832e+39,0.42670865069134284,0.8958968552979841,1.2968007232595962,5.5971527882133635e+35
${\it CorrSent}$,301446.0,-0.027021319372621443,0.19382623047803701,-0.787227703160621,-0.1607737023327205,-0.026867716693750862,0.10689609104036128,0.7372262189430818
${\it \mu}^{USD}$,301446.0,-0.0017867127974031333,0.025803095954540764,-3.0445443185616408,-0.010739875401545975,-0.0016740790935611382,0.005435441483200246,3.0409639675450033
${\it MCap}^{USD}$,253259.0,17.477327770342047,2.42689005343391,-75.59406567476458,15.919776038193907,17.507318216485967,19.013916169818337,25.14721022891653
${\it ExchangeRate}^{USD}$,328022.0,403.5823377067091,3329.894845498658,0.0,0.026643294160986875,0.4000852652123967,3.266584271721488,163741.35495699392
